"UPM","VIV_SEL","R_INF","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","PER","R_DEF","H_MUD","SEL_SUST","TIPO_CUEST","N_ENT","N_REN","NOM","C_RES","PAR","AP3_4A","SEX","EDAD","AP3_6A","NAC_D","NAC_M","COD","COD_SEL","VERIF_COD","I_NIV","I_ANIO","A_ESC","C_ACT","V_ACT","POS","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS"
"1518124
","01
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","1
","02
","-
","
","3
","
","2
","20
","
","
","
","1
","A
","
","08
","2
","1
","4
","4
","
","644
","1288
","U
","2
","30730
","0630
"
"1518124
","01
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","1
","01
","-
","
","1
","
","2
","47
","
","
","
","2
","A
","
","03
","3
","2
","5
","4
","
","644
","0
","U
","2
","30730
","0630
"
"1518124
","02
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","1
","05
","-
","
","3
","
","2
","08
","
","
","
","
","A
","
","02
","2
","1
","
","
","
","644
","0
","U
","2
","30730
","0630
"
"1518124
","02
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","1
","06
","-
","
","4
","
","1
","81
","
","
","
","2
","A
","
","02
","6
","2
","6
","4
","
","644
","0
","U
","2
","30730
","0630
"
"1518124
","02
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","1
","04
","-
","
","3
","
","2
","11
","
","
","
","
","A
","
","02
","5
","1
","
","
","
","644
","0
","U
","2
","30730
","0630
"
"1518124
","02
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","1
","02
","-
","
","2
","
","2
","36
","
","
","
","2
","A
","
","04
","3
","2
","1
","
","3
","644
","0
","U
","2
","30730
","0630
"
"1518124
","02
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","1
","01
","-
","
","1
","
","1
","38
","
","
","
","1
","A
","
","02
","5
","2
","1
","
","3
","644
","1933
","U
","2
","30730
","0630
"
"1518124
","02
","02
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","1
","03
","-
","
","3
","
","2
","16
","
","
","
","
","A
","
","06
","1
","1
","
","
","
","644
","0
","U
","2
","30730
","0630
"
"1518124
","03
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","1
","02
","-
","
","2
","
","2
","60
","
","
","
","2
","A
","
","02
","6
","2
","8
","4
","
","644
","0
","U
","2
","30730
","0630
"
"1518124
","03
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","1
","04
","-
","
","3
","
","1
","30
","
","
","
","2
","A
","
","08
","5
","2
","1
","
","2
","644
","0
","U
","2
","30730
","0630
"
"1518124
","03
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","1
","03
","-
","
","3
","
","1
","20
","
","
","
","2
","A
","
","08
","2
","1
","1
","
","3
","644
","0
","U
","2
","30730
","0630
"
"1518124
","03
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","1
","01
","-
","
","1
","
","1
","59
","
","
","
","1
","A
","
","03
","3
","2
","1
","
","3
","644
","2577
","U
","2
","30730
","0630
"
"1518124
","04
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","1
","01
","-
","
","1
","
","2
","56
","
","
","
","2
","A
","
","07
","3
","2
","1
","
","3
","644
","0
","U
","2
","30730
","0630
"
"1518124
","04
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","1
","04
","-
","
","6
","
","1
","59
","
","
","
","1
","A
","
","03
","3
","2
","1
","
","3
","644
","2577
","U
","2
","30730
","0630
"
"1518124
","04
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","1
","03
","-
","
","3
","
","1
","33
","
","
","
","2
","A
","
","08
","5
","1
","1
","
","3
","644
","0
","U
","2
","30730
","0630
"
"1518124
","04
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","1
","02
","-
","
","3
","
","1
","27
","
","
","
","2
","A
","
","04
","2
","2
","1
","
","2
","644
","0
","U
","2
","30730
","0630
"
"1518124
","05
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","1
","02
","-
","
","2
","
","2
","58
","
","
","
","2
","A
","
","03
","3
","2
","1
","
","2
","644
","0
","U
","2
","30730
","0630
"
"1518124
","05
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","1
","01
","-
","
","1
","
","1
","62
","
","
","
","1
","A
","
","08
","5
","2
","6
","1
","3
","644
","1288
","U
","2
","30730
","0630
"
"1518132
","02
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","3
","02
","-
","
","3
","
","1
","12
","12
","
","
","
","A
","
","02
","6
","1
","
","
","
","619
","0
","U
","2
","30740
","0630
"
"1518132
","02
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","3
","01
","-
","
","1
","
","1
","41
","41
","
","
","1
","A
","
","03
","3
","2
","1
","
","2
","619
","619
","U
","2
","30740
","0630
"
"1518132
","03
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","3
","02
","-
","
","3
","
","1
","42
","42
","
","
","1
","A
","
","08
","5
","1
","1
","
","2
","619
","1858
","U
","2
","30740
","0630
"
"1518132
","03
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","3
","01
","-
","
","1
","
","2
","66
","66
","
","
","2
","A
","
","03
","3
","2
","1
","
","2
","619
","0
","U
","2
","30740
","0630
"
"1518132
","03
","01
","15
","Mexico
","121
","Cuautitlan Izcalli
","0001
","89
","0319
","01
","0
","A
","-
","3
","03
","-
","
","3
","
","2
","34
","34
","
","
","2
","A
","
","08
","5
","2
","8
","4
","
","619
","0
","U
","2
","30740
","0630
"
